Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,France, Paseo , Low ,2155,10.00,350.00,754250.00,7542.50,746707.50,560300.00,186407.50,01/12/2014,12, December ,2014
Government,France, Velo , Low ,3864,120.00,20.00,77280.00,772.80,76507.20,38640.00,37867.20,01/04/2014,4, April ,2014
Government,Mexico, Velo , Low ,362,120.00,7.00,2534.00,25.34,2508.66,1810.00,698.66,01/05/2014,5, May ,2014
Enterprise,Canada, Velo , Low ,923,120.00,125.00,115375.00,1153.75,114221.25,110760.00,3461.25,01/08/2014,8, August ,2014
Enterprise,United States of America, Velo , Low ,663,120.00,125.00,82875.00,828.75,82046.25,79560.00,2486.25,01/10/2013,10, October ,2013
Government,Canada, Velo , Low ,2092,120.00,7.00,14644.00,146.44,14497.56,10460.00,4037.56,01/11/2013,11, November ,2013
Government,Germany, VTT , Low ,263,250.00,7.00,1841.00,18.41,1822.59,1315.00,507.59,01/03/2014,3, March ,2014
Government,Canada, VTT , Low ,943.5,250.00,350.00,330225.00,3302.25,326922.75,245310.00,81612.75,01/04/2014,4, April ,2014
Enterprise,United States of America, VTT , Low ,727,250.00,125.00,90875.00,908.75,89966.25,87240.00,2726.25,01/06/2014,6, June ,2014
Enterprise,France, VTT , Low ,787,250.00,125.00,98375.00,983.75,97391.25,94440.00,2951.25,01/06/2014,6, June ,2014
Small Business,Germany, VTT , Low ,986,250.00,300.00,295800.00,2958.00,292842.00,246500.00,46342.00,01/09/2014,9, September ,2014
Small Business,Mexico, VTT , Low ,494,250.00,300.00,148200.00,1482.00,146718.00,123500.00,23218.00,01/10/2013,10, October ,2013
Government,Mexico, VTT , Low ,1397,250.00,350.00,488950.00,4889.50,484060.50,363220.00,120840.50,01/10/2014,10, October ,2014
Enterprise,France, VTT , Low ,1744,250.00,125.00,218000.00,2180.00,215820.00,209280.00,6540.00,01/11/2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ,1989,260.00,12.00,23868.00,238.68,23629.32,5967.00,17662.32,01/09/2013,9, September ,2013
Midmarket,France, Amarilla , Low ,321,260.00,15.00,4815.00,48.15,4766.85,3210.00,1556.85,01/11/2013,11, November ,2013
Enterprise,Canada, Carretera , Low ,742.5,3.00,125.00,92812.50,1856.25,90956.25,89100.00,1856.25,01/04/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ,1295,3.00,12.00,15540.00,310.80,15229.20,3885.00,11344.20,01/10/2014,10, October ,2014
Small Business,Germany, Carretera , Low ,214,3.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,01/10/2013,10, October ,2013
Government,France, Carretera , Low ,2145,3.00,7.00,15015.00,300.30,14714.70,10725.00,3989.70,01/11/2013,11, November ,2013
Government,Canada, Carretera , Low ,2852,3.00,350.00,998200.00,19964.00,978236.00,741520.00,236716.00,01/12/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ,1142,5.00,12.00,13704.00,274.08,13429.92,3426.00,10003.92,01/06/2014,6, June ,2014
Government,United States of America, Montana , Low ,1566,5.00,20.00,31320.00,626.40,30693.60,15660.00,15033.60,01/10/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low ,690,5.00,12.00,8280.00,165.60,8114.40,2070.00,6044.40,01/11/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ,1660,5.00,125.00,207500.00,4150.00,203350.00,199200.00,4150.00,01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , Low ,2363,10.00,15.00,35445.00,708.90,34736.10,23630.00,11106.10,01/02/2014,2, February ,2014
Small Business,France, Paseo , Low ,918,10.00,300.00,275400.00,5508.00,269892.00,229500.00,40392.00,01/05/2014,5, May ,2014
Small Business,Germany, Paseo , Low ,1728,10.00,300.00,518400.00,10368.00,508032.00,432000.00,76032.00,01/05/2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ,1142,10.00,12.00,13704.00,274.08,13429.92,3426.00,10003.92,01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,662,10.00,125.00,82750.00,1655.00,81095.00,79440.00,1655.00,01/06/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ,1295,10.00,12.00,15540.00,310.80,15229.20,3885.00,11344.20,01/10/2014,10, October ,2014
Enterprise,Germany, Paseo , Low ,809,10.00,125.00,101125.00,2022.50,99102.50,97080.00,2022.50,01/10/2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ,2145,10.00,125.00,268125.00,5362.50,262762.50,257400.00,5362.50,01/10/2013,10, October ,2013
Channel Partners,France, Paseo , Low ,1785,10.00,12.00,21420.00,428.40,20991.60,5355.00,15636.60,01/11/2013,11, November ,2013
Small Business,Canada, Paseo , Low ,1916,10.00,300.00,574800.00,11496.00,563304.00,479000.00,84304.00,01/12/2014,12, December ,2014
Government,Canada, Paseo , Low ,2852,10.00,350.00,998200.00,19964.00,978236.00,741520.00,236716.00,01/12/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ,2729,10.00,125.00,341125.00,6822.50,334302.50,327480.00,6822.50,01/12/2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ,1925,10.00,15.00,28875.00,577.50,28297.50,19250.00,9047.50,01/12/2013,12, December ,2013
Government,United States of America, Paseo , Low ,2013,10.00,7.00,14091.00,281.82,13809.18,10065.00,3744.18,01/12/2013,12, December ,2013
Channel Partners,France, Paseo , Low ,1055,10.00,12.00,12660.00,253.20,12406.80,3165.00,9241.80,01/12/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ,1084,10.00,12.00,13008.00,260.16,12747.84,3252.00,9495.84,01/12/2014,12, December ,2014
Government,United States of America, Velo , Low ,1566,120.00,20.00,31320.00,626.40,30693.60,15660.00,15033.60,01/10/2014,10, October ,2014
Government,Germany, Velo , Low ,2966,120.00,350.00,1038100.00,20762.00,1017338.00,771160.00,246178.00,01/10/2013,10, October ,2013
Government,Germany, Velo , Low ,2877,120.00,350.00,1006950.00,20139.00,986811.00,748020.00,238791.00,01/10/2014,10, October ,2014
Enterprise,Germany, Velo , Low ,809,120.00,125.00,101125.00,2022.50,99102.50,97080.00,2022.50,01/10/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ,2145,120.00,125.00,268125.00,5362.50,262762.50,257400.00,5362.50,01/10/2013,10, October ,2013
Channel Partners,France, Velo , Low ,1055,120.00,12.00,12660.00,253.20,12406.80,3165.00,9241.80,01/12/2014,12, December ,2014
Government,Mexico, Velo , Low ,544,120.00,20.00,10880.00,217.60,10662.40,5440.00,5222.40,01/12/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ,1084,120.00,12.00,13008.00,260.16,12747.84,3252.00,9495.84,01/12/2014,12, December ,2014
Enterprise,Mexico, VTT , Low ,662,250.00,125.00,82750.00,1655.00,81095.00,79440.00,1655.00,01/06/2014,6, June ,2014
Small Business,Germany, VTT , Low ,214,250.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,01/10/2013,10, October ,2013
Government,Germany, VTT , Low ,2877,250.00,350.00,1006950.00,20139.00,986811.00,748020.00,238791.00,01/10/2014,10, October ,2014
Enterprise,Canada, VTT , Low ,2729,250.00,125.00,341125.00,6822.50,334302.50,327480.00,6822.50,01/12/2014,12, December ,2014
Government,United States of America, VTT , Low ,266,250.00,350.00,93100.00,1862.00,91238.00,69160.00,22078.00,01/12/2013,12, December ,2013
Government,Mexico, VTT , Low ,1940,250.00,350.00,679000.00,13580.00,665420.00,504400.00,161020.00,01/12/2013,12, December ,2013
Small Business,Germany, Amarilla , Low ,259,260.00,300.00,77700.00,1554.00,76146.00,64750.00,11396.00,01/03/2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ,1101,260.00,300.00,330300.00,6606.00,323694.00,275250.00,48444.00,01/03/2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ,2276,260.00,125.00,284500.00,5690.00,278810.00,273120.00,5690.00,01/05/2014,5, May ,2014
Government,Germany, Amarilla , Low ,2966,260.00,350.00,1038100.00,20762.00,1017338.00,771160.00,246178.00,01/10/2013,10, October ,2013
Government,United States of America, Amarilla , Low ,1236,260.00,20.00,24720.00,494.40,24225.60,12360.00,11865.60,01/11/2014,11, November ,2014
Government,France, Amarilla , Low ,941,260.00,20.00,18820.00,376.40,18443.60,9410.00,9033.60,01/11/2014,11, November ,2014
Small Business,Canada, Amarilla , Low ,1916,260.00,300.00,574800.00,11496.00,563304.00,479000.00,84304.00,01/12/2014,12, December ,2014
Enterprise,France, Carretera , Low ,4243.5,3.00,125.00,530437.50,15913.13,514524.38,509220.00,5304.38,01/04/2014,4, April ,2014
Government,Germany, Carretera , Low ,2580,3.00,20.00,51600.00,1548.00,50052.00,25800.00,24252.00,01/04/2014,4, April ,2014
Small Business,Germany, Carretera , Low ,689,3.00,300.00,206700.00,6201.00,200499.00,172250.00,28249.00,01/06/2014,6, June ,2014
Channel Partners,United States of America, Carretera , Low ,1947,3.00,12.00,23364.00,700.92,22663.08,5841.00,16822.08,01/09/2014,9, September ,2014
Channel Partners,Canada, Carretera , Low ,908,3.00,12.00,10896.00,326.88,10569.12,2724.00,7845.12,01/12/2013,12, December ,2013
Government,Germany, Montana , Low ,1958,5.00,7.00,13706.00,411.18,13294.82,9790.00,3504.82,01/02/2014,2, February ,2014
Channel Partners,France, Montana , Low ,1901,5.00,12.00,22812.00,684.36,22127.64,5703.00,16424.64,01/06/2014,6, June ,2014
Government,France, Montana , Low ,544,5.00,7.00,3808.00,114.24,3693.76,2720.00,973.76,01/09/2014,9, September ,2014
Government,Germany, Montana , Low ,1797,5.00,350.00,628950.00,18868.50,610081.50,467220.00,142861.50,01/09/2013,9, September ,2013
Enterprise,France, Montana , Low ,1287,5.00,125.00,160875.00,4826.25,156048.75,154440.00,1608.75,01/12/2014,12, December ,2014
Enterprise,Germany, Montana , Low ,1706,5.00,125.00,213250.00,6397.50,206852.50,204720.00,2132.50,01/12/2014,12, December ,2014
Small Business,France, Paseo , Low ,2434.5,10.00,300.00,730350.00,21910.50,708439.50,608625.00,99814.50,01/01/2014,1, January ,2014
Enterprise,Canada, Paseo , Low ,1774,10.00,125.00,221750.00,6652.50,215097.50,212880.00,2217.50,01/03/2014,3, March ,2014
Channel Partners,France, Paseo , Low ,1901,10.00,12.00,22812.00,684.36,22127.64,5703.00,16424.64,01/06/2014,6, June ,2014
Small Business,Germany, Paseo , Low ,689,10.00,300.00,206700.00,6201.00,200499.00,172250.00,28249.00,01/06/2014,6, June ,2014
Enterprise,Germany, Paseo , Low ,1570,10.00,125.00,196250.00,5887.50,190362.50,188400.00,1962.50,01/06/2014,6, June ,2014
Channel Partners,United States of America, Paseo , Low ,1369.5,10.00,12.00,16434.00,493.02,15940.98,4108.50,11832.48,01/07/2014,7, July ,2014
Enterprise,Canada, Paseo , Low ,2009,10.00,125.00,251125.00,7533.75,243591.25,241080.00,2511.25,01/10/2014,10, October ,2014
Midmarket,Germany, Paseo , Low ,1945,10.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,01/10/2013,10, October ,2013
Enterprise,France, Paseo , Low ,1287,10.00,125.00,160875.00,4826.25,156048.75,154440.00,1608.75,01/12/2014,12, December ,2014
Enterprise,Germany, Paseo , Low ,1706,10.00,125.00,213250.00,6397.50,206852.50,204720.00,2132.50,01/12/2014,12, December ,2014
Enterprise,Canada, Velo , Low ,2009,120.00,125.00,251125.00,7533.75,243591.25,241080.00,2511.25,01/10/2014,10, October ,2014
Small Business,United States of America, VTT , Low ,2844,250.00,300.00,853200.00,25596.00,827604.00,711000.00,116604.00,01/02/2014,2, February ,2014
Channel Partners,Mexico, VTT , Low ,1916,250.00,12.00,22992.00,689.76,22302.24,5748.00,16554.24,01/04/2014,4, April ,2014
Enterprise,Germany, VTT , Low ,1570,250.00,125.00,196250.00,5887.50,190362.50,188400.00,1962.50,01/06/2014,6, June ,2014
Small Business,Canada, VTT , Low ,1874,250.00,300.00,562200.00,16866.00,545334.00,468500.00,76834.00,01/08/2014,8, August ,2014
Government,Mexico, VTT , Low ,1642,250.00,350.00,574700.00,17241.00,557459.00,426920.00,130539.00,01/08/2014,8, August ,2014
Midmarket,Germany, VTT , Low ,1945,250.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,01/10/2013,10, October ,2013
Government,Canada, Carretera , Low ,831,3.00,20.00,16620.00,498.60,16121.40,8310.00,7811.40,01/05/2014,5, May ,2014
Government,Mexico, Paseo , Low ,1760,10.00,7.00,12320.00,369.60,11950.40,8800.00,3150.40,01/09/2013,9, September ,2013
Government,Canada, Velo , Low ,3850.5,120.00,20.00,77010.00,2310.30,74699.70,38505.00,36194.70,01/04/2014,4, April ,2014
Channel Partners,Germany, VTT , Low ,2479,250.00,12.00,29748.00,892.44,28855.56,7437.00,21418.56,01/01/2014,1, January ,2014
Midmarket,Mexico, Montana , Low ,2031,5.00,15.00,30465.00,1218.60,29246.40,20310.00,8936.40,01/10/2014,10, October ,2014
Midmarket,Mexico, Paseo , Low ,2031,10.00,15.00,30465.00,1218.60,29246.40,20310.00,8936.40,01/10/2014,10, October ,2014
Midmarket,France, Paseo , Low ,2261,10.00,15.00,33915.00,1356.60,32558.40,22610.00,9948.40,01/12/2013,12, December ,2013
Government,United States of America, Velo , Low ,736,120.00,20.00,14720.00,588.80,14131.20,7360.00,6771.20,01/09/2013,9, September ,2013
Government,Canada, Carretera , Low ,2851,3.00,7.00,19957.00,798.28,19158.72,14255.00,4903.72,01/10/2013,10, October ,2013
Small Business,Germany, Carretera , Low ,2021,3.00,300.00,606300.00,24252.00,582048.00,505250.00,76798.00,01/10/2014,10, October ,2014
Government,United States of America, Carretera , Low ,274,3.00,350.00,95900.00,3836.00,92064.00,71240.00,20824.00,01/12/2014,12, December ,2014
Midmarket,Canada, Montana , Low ,1967,5.00,15.00,29505.00,1180.20,28324.80,19670.00,8654.80,01/03/2014,3, March ,2014
Small Business,Germany, Montana , Low ,1859,5.00,300.00,557700.00,22308.00,535392.00,464750.00,70642.00,01/08/2014,8, August ,2014
Government,Canada, Montana , Low ,2851,5.00,7.00,19957.00,798.28,19158.72,14255.00,4903.72,01/10/2013,10, October ,2013
Small Business,Germany, Montana , Low ,2021,5.00,300.00,606300.00,24252.00,582048.00,505250.00,76798.00,01/10/2014,10, October ,2014
Enterprise,Mexico, Montana , Low ,1138,5.00,125.00,142250.00,5690.00,136560.00,136560.00,0.00,01/12/2014,12, December ,2014
Government,Canada, Paseo , Low ,4251,10.00,7.00,29757.00,1190.28,28566.72,21255.00,7311.72,01/01/2014,1, January ,2014
Enterprise,Germany, Paseo , Low ,795,10.00,125.00,99375.00,3975.00,95400.00,95400.00,0.00,01/03/2014,3, March ,2014
Small Business,Germany, Paseo , Low ,1414.5,10.00,300.00,424350.00,16974.00,407376.00,353625.00,53751.00,01/04/2014,4, April ,2014
Small Business,United States of America, Paseo , Low ,2918,10.00,300.00,875400.00,35016.00,840384.00,729500.00,110884.00,01/05/2014,5, May ,2014
Government,United States of America, Paseo , Low ,3450,10.00,350.00,1207500.00,48300.00,1159200.00,897000.00,262200.00,01/07/2014,7, July ,2014
Enterprise,France, Paseo , Low ,2988,10.00,125.00,373500.00,14940.00,358560.00,358560.00,0.00,01/07/2014,7, July ,2014
Midmarket,Canada, Paseo , Low ,218,10.00,15.00,3270.00,130.80,3139.20,2180.00,959.20,01/09/2014,9, September ,2014
Government,Canada, Paseo , Low ,2074,10.00,20.00,41480.00,1659.20,39820.80,20740.00,19080.80,01/09/2014,9, September ,2014
Government,United States of America, Paseo , Low ,1056,10.00,20.00,21120.00,844.80,20275.20,10560.00,9715.20,01/09/2014,9, September ,2014
Midmarket,United States of America, Paseo , Low ,671,10.00,15.00,10065.00,402.60,9662.40,6710.00,2952.40,01/10/2013,10, October ,2013
Midmarket,Mexico, Paseo , Low ,1514,10.00,15.00,22710.00,908.40,21801.60,15140.00,6661.60,01/10/2013,10, October ,2013
Government,United States of America, Paseo , Low ,274,10.00,350.00,95900.00,3836.00,92064.00,71240.00,20824.00,01/12/2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ,1138,10.00,125.00,142250.00,5690.00,136560.00,136560.00,0.00,01/12/2014,12, December ,2014
Channel Partners,United States of America, Velo , Low ,1465,120.00,12.00,17580.00,703.20,16876.80,4395.00,12481.80,01/03/2014,3, March ,2014
Government,Canada, Velo , Low ,2646,120.00,20.00,52920.00,2116.80,50803.20,26460.00,24343.20,01/09/2013,9, September ,2013
Government,France, Velo , Low ,2177,120.00,350.00,761950.00,30478.00,731472.00,566020.00,165452.00,01/10/2014,10, October ,2014
